Fulfillment Center ID	Address	City
PHX5	16920 W. Commerce Dr, Goodyear, AZ 85338	Goodyear
AZA5	6000 W Van Buren St, Phoenix, AZ 85043	Phoenix
PHX3	6835 W. Buckeye Rd, Phoenix, AZ 85043	Phoenix
PHX6	4750 W. Mohave St, Phoenix, AZ 85043	Phoenix
PHX7 	800 N. 75th Ave, Phoenix, AZ 85043	Phoenix
PHX8	800 N. 75th Ave, Phoenix, AZ 85043	Phoenix
SAZ1	3333 S 7th St, Phoenix, AZ 85040-1182	Phoenix
TFC1	5050 W. Mohave St, Phoenix, AZ 85043	Phoenix
TUS1	533 W Lower Buckeye Rd, Phoenix, AZ 85043	Phoenix
UAZ1	500 S 48th St, Phoenix, AZ 85034	Phoenix
PHX9	777 S 79th Ave, Tolleson, AZ 85353	Tolleson
TUS2	6701 S. Kolb Rd, Tucson, AZ 85756	Tucson
GYR1	580 South 143rd Avenue, Goodyear, AZ 85338	Goodyear
GYR3	8181 W Roosevelt St., Phoenix, AZ 85043	Phoenix
PHX8	800 N. 75th Ave, Phoenix, AZ 85043	Phoenix
VAZ1	3333 S 7th St., Phoenix, AZ 85040	Phoenix
DLR1	1920 N Locust St, North Little Rock, AR 72114	North Little Rock
LIT1	7001 Zeuber Rd, Little Rock, AR 72206	Little Rock
LIT2	13001 US-70, North Little Rock, AR 72117	North Little Rock
BFL1	1601 Petrol Rd, Bakersfield, CA 93308	Bakersfield
PSP1	1010 West Fourth St, Beaumont, CA 92223	Beaumont
DCA2	5250 Goodman Rd, Eastvale, CA 91752	Eastvale
LGB3	4590 Goodman Way, Building 1, Eastvale, CA 91752	Eastvale
SNA6/SNA9/DCA2	5250 Goodman Rd, Eastvale, CA 92880	Eastvale
LAX9	11263 Oleander Ave, Building 1, Fontana, CA 92337	Fontana
FAT1	3575 S Orange Ave, Fresno, CA 93725	Fresno
LGB1	2417 E. Carson St, Long Beach, CA 90810	Long Beach
SCK3	3565 N Airport Way, Manteca, CA 95336	Manteca
ONT6/HLA3	24208 San Michele Rd, Moreno Valley, CA 92551	Moreno Valley
LGB4	27517 Pioneer Ave, Redlands, CA 92374	Redlands
ONT9	2125 W. San Bernardino Ave, Redlands, CA 92374	Redlands
LGB6	20901 Krameria Ave, Riverside, CA 92518	Riverside
LGB7	1660 N. Locust Ave, Rialto, CA 92376	Rialto
SNA4	2496 W Walnut St, Rialto, CA 92376-3009	Rialto
OAK3	255 Park Center Dr, Patterson, CA 95363	Patterson
LGB9	4375 N Perris Blvd, Perris, CA 92571	Perris
SMF1	4900 W Elkhorn Blvd, Metro Air Park, Sacramento, CA 95835	Sacramento
ONT2/3/4/7	1910 & 2020 E Central Ave, San Bernardino, CA 92408	San Bernardino
PCA2	1650 East Central Ave, San Bernardino, CA 92408	San Bernardino
SNA7/SNA8/LGB5/KRB1	555 East Orange Show Rd, San Bernardino, CA 92408	San Bernardino
SCK1	4611 Newcastle Rd, Stockton, CA 95215	Stockton
SMF3	4723 S B St, Stockton, CA 95215	Stockton
XUSD	1909 Zephyr St, Stockton, CA 95206	Stockton
DPS3	2405 Conejo Spectrum St, Thousand Oaks, CA 91320	Thousand Oaks
OAK4/OAK6	1555 N. Chrisman Rd, Tracy, CA 95304	Tracy
PCA1	1565 N MacArthur Dr, Tracy, CA 95376	Tracy
SJC7	188 Mountain House Pkwy, Tracy, CA 95391	Tracy
DDV5	2889 Himalaya Dr, Aurora, CO 80011	Aurora
DEN2	24006 E. 19th Ave, Aurora, CO 80019	Aurora
DEN5	19799 E 36th Dr, Aurora, CO 80011	Aurora
DCS3	4303 Grinnell Blvd, Colorado Springs, CO 80925	Colorado Springs
DEN3	14601 Grant St, Thornton, CO 80023	Thornton
BDL1	801 Day Hill Road Windsor, CT 06095	Windsor
BDL3	415 Washington Ave, Building 3, North Haven, CT 06473	North Haven
BDL2	200 Old Iron Ore Rd, Windsor, CT 06095	Windsor
BDL4	1221 Kennedy Rd, Windsor, CT 06095	Windsor
BDL5	29 Research Parkway, Wallingford, CT 06492	Wallingford
PHL7/PHL9	560 Merrimac Ave, Middletown, DE 19709	Middletown
PHL8	727 N. Broad St, Middletown, DE 19709	Middletown
PHL1	1 Centerpoint Blvd, New Castle, DE 19720	New Castle
PHL3	1600 Johnson Way, New Castle, DE 19720	New Castle
MCO5	305 Deen Still Rd, Davenport, FL 33897	Davenport
MCO9	2841 Access Rd, Davenport, FL 33897	Davenport
JAX2	12900 Pecan Park Rd, Jacksonville, FL 32218	Jacksonville
JAX3	13333 103rd St, Cecil Commerce Center, Jacksonville, FL 32221	Jacksonville
JAX5	4948 Bulls Bay Hwy, Jacksonville, FL 32219	Jacksonville
TPA2/LAL1	1760 County Line Rd, Lakeland, FL 33811	Lakeland
MIA1	14000 NW 37th Ave, Opa Locka, FL 33054	Opa Locka
MCO1	12340 Boggy Creek Rd, Orlando, FL 32824	Orlando
UFL4/SFL1	7469 Kingspointe Pkwy, Orlando, FL 32819	Orlando
TPA1	3350 Laurel Ridge Ave, Ruskin, FL 33570	Ruskin
PGA1	6200 Fulton Industrial Blvd, Atlanta, GA 30336	Atlanta
MGE1/MGE7	650 Broadway Ave, Braselton, GA 30517	Braselton
ATL6	4200 N Commerce Dr, East Point, GA 30344	East Point
MGE3	808 Hog Mountain Rd, Building F, Jefferson, GA 30549	Jefferson
ATL8	2201 Thornton Rd, Lithia Springs, GA 30122	Lithia Springs
SAV3	7001 Skipper Rd, Macon, GA 31216	Macon
ATL2	2255 W Park Blvd, Stone Mountain, GA 30087	Stone Mountain
ATL7	6855 Shannon Pkwy S, Union City, GA 30291	Union City
BOI2	5319 E Franklin Rd, Nampa, ID 83687	Nampa
MDW9	2865 Duke Pkwy, Aurora, IL 60502	Aurora
ORD2	23714 W Amoco Rd, Channahon, IL 60410	Channahon
ORD9	23700 W Bluff Rd Bldg A, Channahon, IL 60410	Channahon
MDW5	16825 Churnovic Ln, Crest Hill, IL 60435	Crest Hill
STL4	3050 Gateway Commerce Center Dr S, Edwardsville, IL	Edwardsville
STL6/STL7/HLU1	3931 Lakeview Corporate Dr, Edwardsville, IL 62025	Edwardsville
MDW4	250 or 201 Emerald Dr, Joliet, IL 60433	Joliet
PIL1	801 Midpoint Rd, Minooka, Illinois 60047	Minooka
MDW7	6605 or 6521 W Monee Manhattan Rd, Monee, IL 60449	Monee
MDW6	1125 W Remington Blvd, Romeoville, IL 60446	Romeoville
DIL7	3601 Howard St, Skokie, IL 60076	Skokie
MDW8	1750 Bridge Dr, Waukegan, IL 60085	Waukegan
HMW1	30260 Graaskamp Blvd, Wilmington, IL 60481	Wilmington
IND9	2140 Stacieâ€™s Way, Greenwood, IN 46143	Greenwood
IND4/IND8	710 South Girls School Rd, Indianapolis, IN 46214	Indianapolis
IND7	9101 Orly Dr, Indianapolis, IN 46241	Indianapolis
PIN1	6161 Decatur Blvd, Indianapolis, IN 46241	Indianapolis
DIN1	5850 W 80th St, Indianapolis, IN 46278	Indianapolis
SDF8	900 Patrol Rd, Jeffersonville, IN 47130	Jeffersonville
IND2/IND3	715 Airtech Pkwy, Plainfield,	IN
DSM5	500 SW 32nd St, Bondurant, IA
::contentReference[oaicite:1]{index=1}
 
